Name,TeamAbbrev,Game Info,Position,Salary,projPoints,variance,Ownership,Leverage,inPool,PassingC/A,PassingYds,PassingTDs,PassingInts,TeamTotalRushingAtt,%RushingAtt,RushingAtt,TeamTotalRushingYds,%RushingYds,RushingYds,TeamTotalRushingTDs,%RushingTDs,RushingTDs,ReceivingTGTS,TeamTotalReceivingRec,%ReceivingRec,ReceivingRec,TeamTotalReceivingYds,%ReceivingYds,ReceivingYds,TeamTotalReceivingTDs,%ReceivingTDs,ReceivingTDs,ReceivingTGTS,Roster Position,ID
Dak Prescott,DAL,DAL@MIA 12/24/2023 04:25PM ET,QB,7900.0,19.9802,67.84819566223274,7.2,2.0787709140825466,1,24.65/36.42,264.58,1.75,0.72,25.83,15.989159891598916,4.13,115.25999999999999,16.111400312337327,18.57,0.77,27.27272727272727,0.21,0.0,24.65,0.0,0.0,264.59000000000003,0.0,0.0,1.75,0.0,0.0,0.0,QB,31794049
Tua Tagovailoa,MIA,DAL@MIA 12/24/2023 04:25PM ET,QB,7800.0,17.971400000000003,62.04714409658697,6.8,1.12338263545533,1,23.31/34.84,273.56,1.72,0.75,26.9,4.981412639405205,1.34,128.35,4.1994546162835995,5.39,1.0,6.0,0.06,0.0,23.3,0.0,0.0,273.56,0.0,0.0,1.73,0.0,0.0,0.0,QB,31794050
Justin Fields,CHI,ARI@CHI 12/24/2023 04:25PM ET,QB,7100.0,20.752,73.39157248309857,14.3,1.5154056683847095,1,19.37/30.06,213.15,1.4,0.77,30.71,32.497557798762614,9.98,138.68,34.72743005480242,48.16,1.01,42.57425742574257,0.43,0.0,19.39,0.0,0.0,213.15,0.0,0.0,1.38,0.0,0.0,0.0,QB,31794051
Jared Goff,DET,DET@MIN 12/24/2023 01:00PM ET,QB,6900.0,17.0256,53.74276971837042,4.8,0.983246602708434,1,23.04/33.94,244.64,1.69,0.63,28.39,5.9880239520958085,1.7,121.85,5.170291341813706,6.3,1.02,7.8431372549019605,0.08,0.0,23.04,0.0,0.0,244.64,0.0,0.0,1.6800000000000002,0.0,0.0,0.0,QB,31794053
Trevor Lawrence,JAX,JAX@TB 12/24/2023 04:05PM ET,QB,6600.0,18.2734,64.23280461092902,5.5,1.9039927451915772,1,22.72/34.44,253.11,1.47,0.73,27.35,14.990859232175502,4.1,116.74,14.896350865170465,17.39,0.88,23.863636363636363,0.21,0.0,22.72,0.0,0.0,253.13,0.0,0.0,1.47,0.0,0.0,0.0,QB,31794054
Jordan Love,GB,GB@CAR 12/24/2023 01:00PM ET,QB,6500.0,15.7898,49.655761950976746,3.0,0.8782585035840594,1,20.68/32.64,221.07,1.36,0.73,27.580000000000002,12.762871646120377,3.52,122.14999999999999,10.945558739255015,13.37,0.77,19.48051948051948,0.15,0.0,20.7,0.0,0.0,221.05,0.0,0.0,1.35,0.0,0.0,0.0,QB,31794055
Kyler Murray,ARI,ARI@CHI 12/24/2023 04:25PM ET,QB,6400.0,17.028200000000002,53.75341845340773,7.8,0.6578711565872608,1,20.87/31.76,220.78,1.04,0.64,28.59,22.000699545295557,6.29,126.63,23.66737739872068,29.97,0.9400000000000001,29.78723404255319,0.28,0.0,20.88,0.0,0.0,220.78,0.0,0.0,1.05,0.0,0.0,0.0,QB,31794056
Sam Howell,WAS,WAS@NYJ 12/24/2023 01:00PM ET,QB,6200.0,13.983,50.7127278228098,3.1,0.48088868697969417,1,21.07/32.83,213.95,0.96,0.76,26.33,13.482719331560958,3.55,109.12,13.79215542521994,15.05,0.65,21.53846153846154,0.14,0.0,21.08,0.0,0.0,213.96,0.0,0.0,0.96,0.0,0.0,0.0,QB,31794057
Baker Mayfield,TB,JAX@TB 12/24/2023 04:05PM ET,QB,6000.0,16.3484,50.05403206042318,8.8,0.4116797138565739,1,21.21/32.71,236.56,1.39,0.86,27.71,12.486466979429808,3.46,113.07000000000001,12.43477491819227,14.06,0.76,17.105263157894736,0.13,0.0,21.209999999999997,0.0,0.0,236.56,0.0,0.0,1.39,0.0,0.0,0.0,QB,31794058
Gardner Minshew,IND,IND@ATL 12/24/2023 01:00PM ET,QB,5900.0,15.871200000000002,49.45063026975314,3.5,0.8567111278729868,1,21.79/34.51,231.33,1.28,0.69,26.93,11.994058670627552,3.23,124.25,10.849094567404427,13.48,0.87,16.09195402298851,0.14,0.0,20.3,0.0,0.0,216.25,0.0,0.0,1.18,0.0,0.0,0.0,QB,31794059
Geno Smith,SEA,SEA@TEN 12/24/2023 01:00PM ET,QB,5800.0,16.8486,52.61542987616529,6.8,0.7452191632652367,1,21.53/32.84,241.79,1.48,0.9,26.740000000000002,12.004487658937919,3.21,109.96000000000001,11.977082575481992,13.17,0.83,16.867469879518072,0.14,0.0,21.53,0.0,0.0,241.79999999999998,0.0,0.0,1.49,0.0,0.0,0.0,QB,31794060
Joe Flacco,CLE,CLE@HOU 12/24/2023 01:00PM ET,QB,5500.0,13.925000000000004,50.89732411952841,4.1,0.413038891624611,1,19.67/32.19,226.15,1.09,0.7,31.31,6.51549025870329,2.04,130.21,5.214653252438368,6.79,1.07,8.411214953271028,0.09,0.0,19.68,0.0,0.0,226.16,0.0,0.0,1.07,0.0,0.0,0.0,QB,31794061
Nick Mullens,MIN,DET@MIN 12/24/2023 01:00PM ET,QB,5300.0,17.452,56.99789626605968,12.7,0.6238084596652409,1,23.27/36.18,261.65,1.51,0.93,25.73,9.988340458608628,2.57,108.06,10.14251341847122,10.96,0.87,14.942528735632186,0.13,0.0,23.26,0.0,0.0,261.66,0.0,0.0,1.52,0.0,0.0,0.0,QB,31794062
Ryan Tannehill,TEN,SEA@TEN 12/24/2023 01:00PM ET,QB,5000.0,13.745,50.826148292299074,5.2,0.33307966937173056,1,19.49/30.12,222.85,1.05,0.73,28.15,6.429840142095915,1.81,121.06,6.781761110193293,8.21,0.8899999999999999,10.112359550561798,0.09,0.0,19.49,0.0,0.0,222.86,0.0,0.0,1.05,0.0,0.0,0.0,QB,31794067
Case Keenum,HOU,CLE@HOU 12/24/2023 01:00PM ET,QB,4900.0,13.5488,50.86695202766291,0.9,1.8226634098348335,1,19.26/32.05,203.92,1.09,0.74,28.16,10.014204545454545,2.82,119.78,8.782768408749373,10.52,0.7,17.142857142857142,0.12,0.0,19.26,0.0,0.0,203.92000000000002,0.0,0.0,1.08,0.0,0.0,0.0,QB,31794068
Taylor Heinicke,ATL,IND@ATL 12/24/2023 01:00PM ET,QB,4800.0,15.8082,49.61498647583136,3.5,1.0322361739058672,1,18.02/29.41,207.78,1.37,0.9,32.26,11.996280223186611,3.87,137.39,12.060557536938642,16.57,1.16,18.103448275862068,0.21,0.0,17.16,0.0,0.0,195.88,0.0,0.0,1.3,0.0,0.0,0.0,QB,31794069
Bryce Young,CAR,GB@CAR 12/24/2023 01:00PM ET,QB,4700.0,12.7958,51.90681133421216,0.8,1.7028834197767957,1,18.81/30.33,182.97,0.94,0.65,29.76,11.995967741935482,3.57,130.04000000000002,12.203937250076898,15.87,0.76,17.105263157894736,0.13,0.0,18.830000000000002,0.0,0.0,182.96,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,QB,31794072
Trevor Siemian,NYJ,WAS@NYJ 12/24/2023 01:00PM ET,QB,4700.0,13.5852,50.804735101182764,1.3,1.3253421993087242,1,18.38/30.82,205.63,1.19,0.93,28.610000000000003,8.493533729465222,2.43,125.24,7.904822740338551,9.9,0.76,11.842105263157894,0.09,0.0,18.39,0.0,0.0,205.62,0.0,0.0,1.1900000000000002,0.0,0.0,0.0,QB,31794073
Rachaad White,TB,JAX@TB 12/24/2023 04:05PM ET,RB,7400.0,15.916,79.0368726803031,15.7,1.0808815666572775,1,0.00/0.00,0.0,0.0,0.0,27.71,67.98989534464091,18.84,113.07000000000001,66.35712390554524,75.03,0.76,63.1578947368421,0.48,3.76,21.209999999999997,13.531353135313534,2.87,236.56,8.467196482921882,20.03,1.39,7.913669064748202,0.11,3.76,RB/FLEX,31794108
Raheem Mostert,MIA,DAL@MIA 12/24/2023 04:25PM ET,RB,7300.0,14.835,71.21926357505785,4.2,2.605175455607506,1,0.00/0.00,0.0,0.0,0.0,26.9,52.49070631970261,14.12,128.35,54.429294896766656,69.86,1.0,56.00000000000001,0.56,2.96,23.3,9.313304721030043,2.17,273.56,6.064483111566019,16.59,1.73,6.358381502890173,0.11,2.96,RB/FLEX,31794110
